Game Name,Developer,Release year,Price,Genres,Review %,Max Reviewers,Minimum Owners,Maximum Owners
 Sable,Shedworks,2021,24.99,"Adventure, Indie, Racing",0.85,1261,50000,100000
 Curious Expedition 2,Maschinen-Mensch,2021,19.99,"Adventure, Indie, RPG, Simulation, Strategy, in Early Access",0.88,2050,200000,500000
 Journey To The Savage Planet,Typhoon,2021,29.99,"Action, Adventure",0.88,3217,100000,200000
 Twelve Minutes,Luis Antonio,2021,24.99,"Adventure, Indie",0.73,4757,100000,200000
 Wraith: The Oblivion - Afterlife,Fast Travel Games,2021,29.99,Adventure,0.54,44,0,20000
 Arcadia Fallen,Galdra Studios,2021,24.99,"Adventure, Casual, Indie, RPG, Simulation",1.0,32,0,20000
 Room to Grow,Mischka Kamener,2021,9.99,"Casual, Indie, Strategy",0.95,92,0,20000
 Tinytopia,MeNic Games,2021,14.99,"Casual, Simulation, Strategy",0.91,102,0,20000
 Bloodroots,Paper Cult,2021,19.99,"Action, Indie",0.91,111,0,20000
 The Wild at Heart,Moonlight Kids,2021,24.99,"Adventure, Indie, Strategy",0.95,138,0,20000
 A Juggler's Tale,kaleidoscube,2021,17.99,"Action, Adventure, Indie",0.94,179,0,20000
 STORY OF SEASONS: Pioneers of Olive Town,Marvelous Inc.,2021,39.99,"Casual, RPG, Simulation",0.87,468,0,20000
 Omno,Jonas Manke,2021,18.99,"Action, Adventure, Casual, Indie",0.94,539,20000,50000
 Not Another Weekend,"Animatic Vision, Dead Blue Friends",2021,10.99,"Adventure, Indie",0.96,26,0,20000
 Grotto,Brainwash Gang,2021,12.99,"Adventure, Indie",0.98,52,0,20000
 Ambition: A Minuet in Power,Joy Manufacturing Co.,2021,19.99,"Adventure, Indie, RPG, Simulation",0.9,99,0,20000
 In Sound Mind,We Create Stuff,2021,34.99,"Action, Indie",0.95,540,0,20000
 Blade of Darkness,"Rebel Act Studios, Fire Falcom, General Arcade",2021,10.04,"Action, RPG",0.95,1022,20000,50000
 Black Book,Morteshka,2021,24.99,"Adventure, Indie, RPG, Strategy",0.94,2352,50000,100000
 Tormented Souls,"Dual Effect, Abstract Digital",2021,19.99,"Action, Adventure",0.94,2031,50000,100000
 Chernobylite,The Farm 51,2021,29.99,"Action, Adventure, Indie, RPG, Simulation, in Early Access",0.83,6370,200000,500000
 Zombie Army 4: Dead War,Rebellion,2021,49.99,Action,0.84,2826,100000,200000
 Lamentum,Obscure Tales,2021,15.99,"Action, Adventure, Indie",0.87,217,20000,50000
 Insurmountable,ByteRockers' Games,2021,19.99,"Adventure, Indie, Simulation, Strategy",0.89,286,0,20000
 Hundred Days - Winemaking Simulator,Broken Arms Games,2021,24.99,"Indie, Simulation, Strategy",0.76,446,50000,100000
 Narita Boy,Studio Koba,2021,24.99,"Adventure, Indie",0.83,412,0,20000
 A Rogue Escape,Spare Parts Oasis,2021,19.99,Simulation,0.87,16,0,20000
 Smelter,"X PLUS Co., Ltd.",2021,19.99,"Action, Adventure, Indie, Simulation, Strategy",0.73,97,0,20000
 No Longer Home,"Humble Grove, Hana Lee, Cel Davison, Adrienne Lombardo, Eli Rainsberry",2021,9.74,"Adventure, Casual, Indie",0.77,84,0,20000
 Cris Tales,"Dreams Uncorporated, SYCK",2021,39.99,"Action, Adventure, RPG",0.64,206,20000,50000
 Minute of Islands,Studio Fizbin,2021,19.99,"Adventure, Indie",0.85,204,0,20000
 They Always Run,Alawar Premium,2021,19.99,"Action, Adventure",0.88,226,0,20000
 SLUDGE LIFE,"Terri Vellmann, Doseone",2021,14.99,"Adventure, Indie",0.94,294,0,20000
 KeyWe,Stonewheat & Sons,2021,24.99,"Casual, Indie",0.93,293,0,20000
 After the Fall - Launch Edition,Vertigo Games,2021,35.99,"Action, Adventure",0.8,711,20000,50000
 Nebuchadnezzar,Nepos Games,2021,19.99,"Free to Play, Indie, Simulation, Strategy",0.79,809,50000,100000
 Bus Simulator 21,stillalive studios,2021,34.99,Simulation,0.66,1175,50000,100000
 Idol Manager,Glitch Pitch,2021,19.99,"Indie, Simulation, Strategy",0.89,2103,50000,100000
 MechWarrior 5: Mercenaries,Piranha Games Inc.,2021,29.99,"Action, Simulation",0.84,3484,100000,200000
 Medieval Dynasty,Render Cube,2021,34.99,"Action, Adventure, RPG, Simulation, in Early Access",0.9,19068,500000,1000000
 Stubbs the Zombie in Rebel Without a Pulse,Aspyr,2021,19.99,Action,0.92,831,100000,200000
 Lake,Gamious,2021,19.99,"Adventure, Indie",0.85,1050,100000,200000
 Turnip Boy Commits Tax Evasion,Snoozy Kazoo,2021,14.99,"Action, Adventure, Casual, Indie",0.94,3283,100000,200000
 TOHU,Fireart Games,2021,14.99,"Adventure, Indie",0.88,182,0,20000
 Gamedec,Anshar Studios,2021,29.99,"Adventure, Indie, RPG",0.85,431,100000,200000
 Mundaun,Hidden Fields,2021,19.99,"Action, Adventure, Indie",0.96,538,0,20000
 Before We Leave,Balancing Monkey Games,2021,19.99,"Casual, Indie, Simulation, Strategy",0.79,728,50000,100000
 Backbone,EggNut,2021,24.99,"Adventure, Indie",0.61,1017,50000,100000
 Embr,Muse Games,2021,9.99,"Action, Casual, Indie, Simulation, Strategy, in Early Access",0.88,581,50000,100000
 Viola: The Heroine's Melody,Jelle van Doorne,2021,14.99,"Action, Adventure, Indie, RPG, in Early Access",0.94,39,0,20000
 Mutropolis,Pirita Studio,2021,19.99,"Adventure, Casual, Indie",0.91,79,0,20000
 Foregone,Big Blue Bubble,2021,5.99,"Action, Adventure, Indie",0.81,409,0,20000
 The Sinking City,Frogwares,2021,39.99,"Action, Adventure, RPG",0.69,670,50000,100000
 Spellcaster University,Sneaky Yak Studio,2021,24.99,"Simulation, Strategy",0.84,2092,100000,200000
 Breathedge,RedRuins Softworks,2021,24.99,"Action, Adventure, Indie, Simulation, in Early Access",0.86,10543,200000,500000
