Game Name,Developer,Release year,Price,Genres,Review %,Max Reviewers,Minimum Owners,Maximum Owners
Let's Build a Zoo,Springloaded,2021,15.99,"Simulation,Strategy",0.91,1109,50000,100000
Roguebook,Abrakam Entertainment SA,2021,16.24,"Adventure,Indie,RPG,Strategy",0.84,1616,100000,200000
Vesper,Cordens Interactive,2021,3.89,"Action,Adventure,Indie",0.81,27,0,20000
Clan O'Conall and the Crown of the Stag,HitGrab,2021,8.99,"Action,Adventure,Indie",0.95,43,20000,50000
Sumire,GameTomo Team,2021,6.49,"Adventure,Casual,Indie",0.98,119,0,20000
Sunblaze,Games From Earth,2021,7.49,"Action,Adventure,Indie",0.93,119,0,20000
ALTDEUS: Beyond Chronos,MyDearest Inc.,2021,20.99,Adventure,0.96,166,0,20000
Wytchwood,Alientrap,2021,19.99,"Adventure,Casual,Indie,RPG",0.95,288,100000,200000
Unbound: Worlds Apart,Alien Pixel Studios,2021,13.99,"Adventure,Indie",0.88,401,0,20000
Aeon Drive,2Awesome Studio,2021,7.49,"Action,Adventure,Indie",0.92,39,0,20000
The Big Con,Mighty Yell,2021,7.49,"Adventure,Indie",1.0,116,0,20000
Olija,"Skeleton Crew Studio, Thomas Olsson",2021,7.49,"Action,Adventure,Indie",0.92,368,0,20000
Genesis Noir,Feral Cat Den,2021,8.99,Adventure,0.82,634,100000,200000
Jurassic World Evolution 2,Frontier Developments,2021,41.99,"Simulation,Strategy",0.79,5768,200000,500000
Back 4 Blood,Turtle Rock Studios,2021,35.99,Action,0.66,23091,1000000,2000000
Omno,Jonas Manke,2021,14.24,"Action,Adventure,Casual,Indie",0.95,558,20000,50000
Severed Steel,Greylock Studio,2021,18.74,"Action,Indie,in Early Access",0.93,905,50000,100000
Eldest Souls,Fallen Flag Studio,2021,13.99,"Action,Adventure,Indie,RPG",0.83,1182,20000,50000
Sable,Shedworks,2021,18.74,"Adventure,Indie,Racing",0.85,1385,50000,100000
Curious Expedition 2,Maschinen-Mensch,2021,13.99,"Adventure,Indie,RPG,Simulation,Strategy,in Early Access",0.88,2064,200000,500000
Journey To The Savage Planet,Typhoon,2021,11.99,"Action,Adventure",0.88,3250,100000,200000
Twelve Minutes,Luis Antonio,2021,19.99,"Adventure,Indie",0.73,4852,100000,200000
GTFO,10 Chambers,2021,29.99,"Action,in Early Access",0.88,24376,500000,1000000
Bonkies,Studio Gauntlet,2021,8.99,"Casual,Indie",1.0,20,50000,100000
Wraith: The Oblivion - Afterlife,Fast Travel Games,2021,19.49,Adventure,0.55,45,0,20000
Arcadia Fallen,Galdra Studios,2021,24.99,"Adventure,Casual,Indie,RPG,Simulation",0.97,35,0,20000
Room to Grow,Mischka Kamener,2021,5.99,"Casual,Indie,Strategy",0.95,94,0,20000
Tinytopia,MeNic Games,2021,11.99,"Casual,Simulation,Strategy",0.91,103,0,20000
Bloodroots,Paper Cult,2021,9.99,"Action,Indie",0.92,113,0,20000
The Wild at Heart,Moonlight Kids,2021,19.99,"Adventure,Indie,Strategy",0.95,143,0,20000
A Juggler's Tale,kaleidoscube,2021,13.49,"Action,Adventure,Indie",0.94,192,0,20000
STORY OF SEASONS: Pioneers of Olive Town,Marvelous Inc.,2021,29.99,"Casual,RPG,Simulation",0.87,492,0,20000
Not Another Weekend,"Animatic Vision, Dead Blue Friends",2021,8.79,"Adventure,Indie",0.96,27,0,20000
Grotto,Brainwash Gang,2021,11.04,"Adventure,Indie",0.98,56,0,20000
Ambition: A Minuet in Power,Joy Manufacturing Co.,2021,15.99,"Adventure,Indie,RPG,Simulation",0.91,101,0,20000
In Sound Mind,We Create Stuff,2021,22.74,"Action,Indie",0.95,569,0,20000
After the Fall - Launch Edition,Vertigo Games,2021,39.99,"Action,Adventure",0.78,862,50000,100000
Blade of Darkness,"Rebel Act Studios, Fire Falcom, General Arcade",2021,10.04,"Action,RPG",0.95,1054,20000,50000
Black Book,Morteshka,2021,16.74,"Adventure,Indie,RPG,Strategy",0.94,2405,50000,100000
Tormented Souls,"Dual Effect, Abstract Digital",2021,15.99,"Action,Adventure",0.94,2087,50000,100000
Chernobylite,The Farm 51,2021,22.49,"Action,Adventure,Indie,RPG,Simulation,in Early Access",0.83,6459,200000,500000
Narita Boy,Studio Koba,2021,12.49,"Adventure,Indie",0.83,415,20000,50000
Zombie Army 4: Dead War,Rebellion,2021,19.99,Action,0.84,2879,200000,500000
Lamentum,Obscure Tales,2021,11.19,"Action,Adventure,Indie",0.87,219,20000,50000
Insurmountable,ByteRockers' Games,2021,19.99,"Adventure,Indie,Simulation,Strategy",0.89,288,0,20000
Hundred Days - Winemaking Simulator,Broken Arms Games,2021,17.49,"Indie,Simulation,Strategy",0.76,449,50000,100000
A Rogue Escape,Spare Parts Oasis,2021,15.99,Simulation,0.87,16,0,20000
Tandem: A Tale of Shadows,Monochrome Paris,2021,9.99,"Action,Adventure,Indie",0.89,48,0,20000
Smelter,"X PLUS Co., Ltd.",2021,12.99,"Action,Adventure,Indie,Simulation,Strategy",0.73,100,0,20000
No Longer Home,"Humble Grove, Hana Lee, Cel Davison, Adrienne Lombardo, Eli Rainsberry",2021,9.74,"Adventure,Casual,Indie",0.77,89,0,20000
Cris Tales,"Dreams Uncorporated, SYCK",2021,19.99,"Action,Adventure,RPG",0.63,208,20000,50000
